id	3-Dehydrocholic acid	Bilirubin	Biliverdin	Cholic acid	Choline	D-(+)-Proline	Deoxycholic Acid	Gentisic acid	Gly-Val	Indole	Inosine	Lithocholic Acid	L-Tyrosine	Taurine	Υ-Aminobutyric acid (GABA)
[Ruminococcus] lactaris	0.398601398601399	0.48951048951049	0.748251748251748	0.475524475524476	0.699300699300699	-0.608391608391608	0.510489510489511	0.510489510489511	-0.657342657342657	-0.342657342657343	0.0770579115172181	-0.384615384615385	-0.65034965034965	0.671328671328671	0.482517482517483
[Ruminococcus] torques	-0.405594405594406	-0.188811188811189	-0.237762237762238	-0.377622377622378	-0.237762237762238	0.377622377622378	-0.181818181818182	-0.398601398601399	0.055944055944056	0.426573426573427	0.210157940501504	0.391608391608392	0.0839160839160839	-0.447552447552448	-0.531468531468532
Agathobaculum butyriciproducens	0.559440559440559	0.447552447552448	0.384615384615385	0.496503496503497	0.391608391608392	-0.391608391608392	0.160839160839161	0.461538461538462	0	-0.552447552447553	0.20315267581812	-0.461538461538462	-0.293706293706294	0.503496503496504	0.496503496503497
Alistipes communis	-0.783216783216783	-0.475524475524476	-0.20979020979021	-0.755244755244755	-0.48951048951049	0.580419580419581	-0.482517482517483	-0.370629370629371	0.188811188811189	0.692307692307692	-0.252189528601805	0.783216783216783	0.335664335664336	-0.587412587412588	-0.762237762237762
Alistipes ihumii	-0.552447552447553	-0.223776223776224	0.013986013986014	-0.671328671328671	-0.447552447552448	0.580419580419581	-0.363636363636364	-0.510489510489511	-0.034965034965035	0.552447552447553	0.0630473821504512	0.615384615384615	0.146853146853147	-0.566433566433566	-0.636363636363636
Alistipes onderdonkii	-0.559440559440559	-0.300699300699301	-0.335664335664336	-0.664335664335664	-0.482517482517483	0.545454545454546	-0.433566433566434	-0.216783216783217	0.174825174825175	0.545454545454546	-0.245184263918421	0.769230769230769	0.20979020979021	-0.559440559440559	-0.741258741258741
Alistipes senegalensis	-0.714536997705113	-0.637479086187895	-0.577934336379136	-0.893171247131392	-0.742558056438647	0.875658085422933	-0.760071218147106	-0.683013306629888	0.500876424861918	0.721542262388497	-0.340350877192983	0.851139659031091	0.602452762770978	-0.865150188397858	-0.816113335614173
Alistipes shahii	-0.685314685314685	-0.272727272727273	-0.293706293706294	-0.818181818181818	-0.48951048951049	0.657342657342657	-0.615384615384615	-0.454545454545455	0.223776223776224	0.636363636363636	-0.252189528601805	0.881118881118881	0.195804195804196	-0.678321678321678	-0.846153846153846
Bacteroides acidifaciens	-0.307692307692308	-0.468531468531469	-0.825174825174825	-0.503496503496504	-0.454545454545455	0.510489510489511	-0.657342657342657	-0.384615384615385	0.72027972027972	0.475524475524476	-0.458844836761617	0.524475524475525	0.48951048951049	-0.629370629370629	-0.461538461538462
Bacteroides caecimuris	-0.237762237762238	-0.237762237762238	-0.713286713286713	-0.0839160839160839	-0.125874125874126	0.055944055944056	-0.300699300699301	-0.048951048951049	0.531468531468532	0.055944055944056	-0.577934336379136	0.195804195804196	0.335664335664336	-0.146853146853147	-0.125874125874126
