Var	NMISS case	NMISS control	Pvalue	Likelihood_ratio_test_Pvalue	Wald_test_Pvalue	Score_(logrank)_test_Pvalue	coef	exp(coef)	se(coef)	z	lower .95	upper .95	AUC	AUC_CI95	threshold	specificity	sensitivity	accuracy	Case_Count	Case_Mean	Case_Median	Case_StdDev	Case_Min	Case_Max	Case_Quantile_25%	Case_Quantile_75%	Control_Count	Control_Mean	Control_Median	Control_StdDev	Control_Min	Control_Max	Control_Quantile_25%	Control_Quantile_75%	group_diff
CDH2	184	184	0.0551511262463531	3.09178749759871e-21	0.00108320990153272	9.12278094356714e-13	-23.3209243050554	7.44476959379286e-11	12.1609856544058	-1.91768372793093	3.31437393862696e-21	1.67224927938045	0.9429	0.9218 - 0.9641	-0.1836	0.8261	0.8967	0.8614	184	0.0282980996902174	0.024239831	0.0155929242640082	0.010522599	0.149287563	0.0184800925	0.034569861	184	0.0409773372554348	0.035409224	0.0200232341021773	0.013986665	0.133426627	0.0268329545	0.0490465965	-0.0126792375652174
PCDHB10	184	184	0.212694170017603	NA	NA	NA	-23.294163241966	7.64668928504583e-11	18.6922851460449	-1.24619130619751	9.38796541357642e-27	622838.436723209	NA	NA	NA	NA	NA	NA	184	0.371225641369565	0.3670246475	0.0445006295739876	0.278868772	0.591334071	0.34197722175	0.39310195275	184	0.393682326625	0.387372796	0.0429694584347314	0.316559742	0.572703178	0.3669119015	0.41399181825	-0.0224566852554348
PCDHB11	184	184	0.0651168421356808	NA	NA	NA	-29.8923759577248	1.04209202086002e-13	16.206616140501	-1.84445511009683	1.67035738489925e-27	6.50133791581146	NA	NA	NA	NA	NA	NA	184	0.4167832195	0.41253322	0.0497166642223146	0.319085036	0.649332992	0.38409899625	0.439853207	184	0.439576201	0.431133496	0.0509745195782199	0.345955718	0.679468994	0.4123040005	0.45947734625	-0.0227929815
PCDHB14	184	184	0.162954256938306	NA	NA	NA	8.85373595707675	7000.49372068574	6.34583501394419	1.3952042461901	0.0277679688536392	1764872057.86165	NA	NA	NA	NA	NA	NA	184	0.308292744684783	0.297988979	0.0556436436293828	0.200934073	0.635646509	0.271500233	0.331140173	184	0.327300896429348	0.3248741585	0.0474675986538522	0.204147898	0.468686594	0.297208401	0.34950531125	-0.0190081517445652
PCDHB16	184	184	0.413859455320673	NA	NA	NA	7.85845814025887	2587.52769334628	9.61725501994215	0.817120698573942	1.68524362176896e-05	397289713923.145	NA	NA	NA	NA	NA	NA	184	0.446177634418478	0.438614789	0.0606623163003285	0.340829531	0.73411825	0.4065230235	0.4710513325	184	0.46163737375	0.4464744655	0.0617496608248658	0.362686259	0.766661349	0.4254493245	0.4898428115	-0.0154597393315218
PCDHB3	184	184	0.564222014773932	NA	NA	NA	6.38346055794889	591.972723082834	11.0712146184722	0.576581773358285	2.23083128954298e-07	1570857045607.86	NA	NA	NA	NA	NA	NA	184	0.608388929021739	0.6064778495	0.0460614237506529	0.513253494	0.814858043	0.57826840825	0.630560683	184	0.623639080630435	0.6183975685	0.0473436567760295	0.48254121	0.847065086	0.59290448	0.643479141	-0.0152501516086957
PCDHB6	184	184	0.0364382686080204	NA	NA	NA	9.93762783570149	20694.5950342409	4.75029384057263	2.09200276219198	1.87240367318976	228725391.732249	NA	NA	NA	NA	NA	NA	184	0.456226870706522	0.430444611	0.094191890791902	0.310081305	0.824225289	0.39678597325	0.4965307825	184	0.464093761141304	0.4418372485	0.0880054780368754	0.333102041	0.896916131	0.41104822225	0.495635913	-0.00786689043478261
PCDHB9	184	184	0.469303910195588	NA	NA	NA	7.43770262878238	1698.84286184784	10.2785769049388	0.723612100932822	3.02700184859478e-06	953440801693.318	NA	NA	NA	NA	NA	NA	184	0.417238683217391	0.412756465	0.052161224889622	0.300626961	0.650017357	0.38232866625	0.437184287	184	0.442468884244565	0.436553344	0.049319654402231	0.350963425	0.618369993	0.4137825105	0.4605593335	-0.0252302010271739
cg09150559	184	184	0.00245405999152908	NA	NA	NA	-5.23140732280471	0.00534599646341209	1.72713607705599	-3.02894913278749	0.000181087208062244	0.157822733547203	NA	NA	NA	NA	NA	NA	184	0.747967742054348	0.7615566695	0.135405546520834	0.118577075	0.965065502	0.67545043775	0.842966415	184	0.760112771815217	0.771498997	0.118218846928167	0.300420168	0.969551979	0.70350772775	0.8420021455	-0.0121450297608696
cg09843519	184	184	0.65959071383309	NA	NA	NA	-1.66513242332078	0.189165606385536	3.78028239330598	-0.440478316188587	0.000114567113155056	312.337682723817	NA	NA	NA	NA	NA	NA	184	0.138740549706522	0.1349483825	0.0565609487936118	0.050244832	0.312815855	0.09065706475	0.17427721	184	0.157272812592391	0.151715463	0.0548457426494532	0.057002393	0.324240632	0.10929933275	0.195619355	-0.0185322628858696
